name,year,coal,gas,oil,tradition,nuclear,clean
WA,2015,0.0,0.0,0.0,0.0,85.3,934.7
WV,2006,"3,802.0",265.8,10.0,4077.8,0.0,"4,106.1"
WV,2007,"3,855.3",262.6,11.6,4129.5,0.0,"4,155.4"
WV,2008,"3,870.3",277.0,12.3,4159.6,0.0,"4,188.9"
WV,2009,"3,379.4",300.9,8.7,3689.0,0.0,"3,734.0"
WV,2010,"3,346.1",300.9,10.7,3657.7,0.0,"3,699.7"
WV,2011,"3,321.1",442.4,12.4,3775.9,0.0,"3,820.2"
WV,2012,"3,059.1",602.3,14.9,3676.3,0.0,"3,720.2"
WV,2013,"2,874.7",832.4,40.2,3747.3,0.0,"3,801.0"
WV,2014,"2,858.0","1,248.9",44.0,4150.9,0.0,"4,200.8"
WV,2015,"2,447.2","1,572.1",45.6,4064.9,0.0,"4,109.8"
WI,2006,0.0,0.0,0.0,0.0,127.7,272.3
WI,2007,0.0,0.0,0.0,0.0,135.4,283.9
WI,2008,0.0,0.0,0.0,0.0,127.0,303.5
WI,2009,0.0,0.0,0.0,0.0,132.7,303.4
WI,2010,0.0,0.0,0.0,0.0,138.8,329.3
WI,2011,0.0,0.0,0.0,0.0,121.0,312.3
WI,2012,0.0,0.0,0.0,0.0,149.8,333.4
WI,2013,0.0,0.0,0.0,0.0,122.0,310.0
WI,2014,0.0,0.0,0.0,0.0,98.8,298.3
WI,2015,0.0,0.0,0.0,0.0,104.7,293.3
WY,2006,"7,740.0","1,995.7",307.2,10042.9,0.0,"10,062.3"
WY,2007,"7,847.6","2,237.0",313.9,10398.5,0.0,"10,416.8"
WY,2008,"8,087.4","2,469.4",307.7,10864.5,0.0,"10,886.2"
WY,2009,"7,459.9","2,544.1",298.9,10302.9,0.0,"10,336.9"
WY,2010,"7,658.3","2,521.3",312.6,10492.2,0.0,"10,536.6"
WY,2011,"7,591.7","2,384.4",317.1,10293.2,0.0,"10,353.2"
WY,2012,"6,973.7","2,249.3",336.2,9559.2,0.0,"9,612.6"
WY,2013,"6,760.4","2,055.3",367.3,9183.0,0.0,"9,235.9"
WY,2014,"6,880.2","1,986.2",441.6,9308.0,0.0,"9,362.0"
WY,2015,"6,538.2","1,985.3",494.5,9018.0,0.0,"9,064.1"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
